,Country1,Occupation,Birth year,lifespan
905,Brazil,artist,1923,77
906,United States,teacher,1931,82
907,United Kingdom,teacher,1931,82
908,United Kingdom,politician,1924,68
909,United States,politician,1920,83
910,Japan,amateur wrestler,1952,66
911,United Kingdom,professional wrestler,1970,48
912,United States,artist,1925,92
913,France,researcher,1926,41
914,United Kingdom,game designer,1951,61
914,United Kingdom,programmer,1951,61
915,United States,athlete,1924,78
916,United States,interpreter,1800,51
917,United Kingdom,artist,1920,78
918,Uzbekistan,artist,1938,78
919,United States,artist,1914,85
920,United States,athlete,1948,33
921,United States,artist,1936,73
922,United States,immunologist,1933,78
923,Germany,politician,1887,63
924,India,politician,1926,86
925,Japan,military personnel,1897,49
926,United States,artist,1921,89
927,United States,researcher,1928,43
928,United States,artist,1874,67
929,United States,artist,1920,49
930,Finland,politician,1880,40
931,United States,artist,1923,84
932,Germany,artist,1923,84
933,Netherlands,artist,1948,60
934,United States,artist,1938,34
935,United States,artist,1903,70
936,United States,military personnel,1920,24
937,Japan,physician,1834,25
938,Spain,artist,1942,73
939,United States,artist,1922,51
940,United States,artist,1922,55
941,Belgium,artist,1929,79
942,United States,politician,1937,70
943,Syrian Arab Republic,religious figure,1932,67
944,United Kingdom,artist,1923,91
945,United Kingdom,politician,1895,50
946,France,artist,1801,51
947,United Kingdom,artist,1927,80
948,United States,artist,1917,49
949,United States,architect,1911,86
950,United Kingdom,guitarist,1948,43
951,United States,athlete,1941,73
952,Spain,researcher,1928,71
953,United Kingdom,artist,1947,51
954,Pakistan,politician,1937,81
955,United States,artist,1925,82
956,Germany,military personnel,1894,51
957,United States,obstetrician,1935,75
958,Singapore,artist,1934,67
959,Germany,artist,1942,49
960,Germany,artist,1840,65
961,United States,artist,1933,83
962,Japan,military personnel,1921,23
963,Sri Lanka,religious figure,1948,37
964,Norway,artist,1857,77
965,United States,military personnel,1933,78
966,United States,politician,1948,69
967,Finland,artist,1906,56
968,Ireland,athlete,1873,50
969,Canada,artist,1942,62
970,Canada,artist,1938,68
971,United Kingdom,television presenter,1955,64
972,United States,artist,1917,68
973,United Kingdom,artist,1893,71
974,United States,artist,1922,57
975,Norway,artist,1952,30
976,United States,artist,1904,93
977,Netherlands,artist,1904,93
978,France,artist,1906,73
979,France,artist,1907,43
980,United States,alpine skier,1943,67
981,Switzerland,trade unionist,1845,58
981,Switzerland,feminist,1845,58
982,Germany,trade unionist,1845,58
982,Germany,feminist,1845,58
983,United States,novelist,1931,69
984,Hungary,researcher,1874,63
985,Germany,researcher,1874,63
986,United States,artist,1913,66
987,Austria,artist,1946,63
988,United Kingdom,artist,1892,41
989,Canada,politician,1945,64
990,United States,politician,1820,50
991,Brazil,politician,1937,38
992,Gabon,politician,1948,50
993,United Kingdom,comedian,1904,46
994,United States,physician,1813,76
995,United States,politician,1780,70
996,United States,physician,1815,63
997,Germany,athlete,1952,57
998,United States,teacher,1908,73
999,United States,athlete,1935,70
1000,Estonia,politician,1962,56
1001,France,artist,1915,82
1002,United States,athlete,1920,56
1003,United Kingdom,engineer,1958,56
1004,Germany,athlete,1763,60
1005,Cuba,athlete,1959,55
1006,United States,artist,1897,87
1007,Canada,artist,1897,87
1008,Spain,military personnel,1879,58
1009,United States,artist,1935,61
1010,Syrian Arab Republic,politician,1932,37
1011,"Congo, The Democratic Republic of the",politician,1943,56
1012,"Congo, The Democratic Republic of the",politician,1943,56
1013,United States,artist,1901,67
1014,United States,artist,1967,33
1015,Cuba,athlete,1945,63
1016,Brazil,politician,1902,74
1017,Spain,religious figure,1933,56
1018,El Salvador,religious figure,1933,56
1019,United States,military personnel,1917,89
1020,Italy,athlete,1980,33
1021,United States,artist,1941,50
1022,Canada,artist,1951,57
1023,United Kingdom,astronomer,1764,22
1024,Netherlands Antilles,astronomer,1764,22
1025,United States,athlete,1948,27
1026,Canada,athlete,1937,77
1027,United States,artist,1891,46
1028,China,artist,1593,51
1029,United States,artist,1949,69
1030,Poland,artist,1936,61
1031,Australia,researcher,1926,92
1032,United States,journalist,1947,45
1033,Peru,politician,1834,44
1034,Malaysia,politician,1923,83
1035,United States,journalist,1955,51
1036,Belgium,philosopher,1490,49
1036,Belgium,erudite,1490,49
1037,United States,artist,1945,70
1038,France,military personnel,1600,27
1039,United States,artist,1924,84
1040,Netherlands,artist,1924,84
1041,France,artist,1815,31
1042,United States,artist,1899,81
1043,United States,artist,1906,58
1044,Ireland,athlete,1936,57
1045,United States,artist,1941,57
1046,United States,artist,1912,79
1047,United States,artist,1914,84
1048,United States,artist,1844,47
1049,United States,athlete,1934,39
1050,Finland,artist,1887,55
1051,South Africa,athlete,1932,56
1052,Philippines,researcher,1922,96
1053,Jamaica,saxophonist,1943,70
1054,Japan,artist,1932,87
1055,United Kingdom,artist,1981,28
1056,United Kingdom,religious figure,1594,71
1057,Brazil,artist,1930,86
1058,Haiti,politician,1804,16
1059,Italy,athlete,1921,28
1060,Germany,researcher,1874,69
1061,United States,engineer,1945,72
1062,United States,artist,1924,84
1063,Germany,politician,1898,47
1064,Mexico,circus performer,1864,26
1065,United States,artist,1905,81
1066,Canada,artist,1981,35
1067,United Kingdom,athlete,1952,48
1068,Malaysia,artist,1958,48
1069,Hungary,politician,1897,49
1070,United States,researcher,1926,90
1071,United States,novelist,1936,68
1072,United Kingdom,artist,1918,57
1073,Japan,military personnel,1886,62
1074,Sweden,physician,1898,62
1075,Finland,physician,1898,62
1076,United States,researcher,1917,94
1077,Canada,artist,1977,26
1078,France,military personnel,1761,72
1079,Ukraine,artist,1981,30
1080,Argentina,artist,1917,76
1081,United States,military personnel,1888,30
1082,United States,artist,1912,87
1083,Israel,lawyer,1934,75
1084,United States,artist,1946,59
1085,France,religious figure,1878,25
1086,United States,artist,1907,44
1087,Canada,artist,1934,81
1088,United Kingdom,businessperson,1970,41
1089,Sweden,artist,1861,33
1090,United Kingdom,artist,1929,72
1091,United States,artist,1897,74
1092,United States,artist,1930,79
1093,United Kingdom,athlete,1957,48
1094,United States,artist,1917,75
1095,United Kingdom,researcher,1899,91
1096,Netherlands,researcher,1933,81
1097,Mexico,artist,1958,48
1098,Japan,artist,1937,71
1099,United States,religious figure,1846,44
1100,United Kingdom,artist,1955,57
1101,United States,military personnel,1912,76
1102,United Kingdom,nurse,1883,62
1102,United Kingdom,resistance fighter,1883,62
1103,United States,artist,1900,59
1104,Hungary,artist,1900,59
1105,United States,artist,1905,71
1106,United States,lawyer,1871,61
1107,France,flying ace,1883,39
1108,United States,entrepreneur,1743,55
1109,United States,artist,1920,77
1110,United States,athlete,1942,60
1111,Afghanistan,politician,1946,49
1112,Iceland,artist,1924,69
1113,France,physician,1771,31
1114,United States,artist,1904,27
1115,France,anatomist,1701,41
1116,United States,businessperson,1949,70
1117,Tunisia,businessperson,1949,70
1118,France,businessperson,1949,70
1119,United States,artist,1912,86
1120,Italy,artist,1926,73
1121,United States,military personnel,1850,27
1122,Azerbaijan,academic,1921,87
1123,United States,businessperson,1922,84
1124,Finland,artist,1945,65
1125,United States,artist,1923,85
1126,France,politician,1948,70
1127,United States,artist,1915,59
1128,Lithuania,artist,1858,41
1129,United States,artist,1900,79
1130,Spain,architect,1864,72
1131,United Kingdom,politician,1779,25
1132,Philippines,politician,1864,39
1133,Mexico,artist,1913,80
1134,United States,artist,1936,71
1135,United States,artist,1933,80
1136,Japan,artist,1856,65
1137,Puerto Rico,artist,1936,81
1138,United States,researcher,1893,95
1139,United States,businessperson,1913,61
1140,Israel,architect,1900,68
1141,United Kingdom,artist,1912,71
1142,United States,military personnel,1918,71
1143,United States,athlete,1907,65
1144,United States,artist,1923,61
1145,United States,journalist,1947,60
1146,United States,artist,1934,79
1147,United States,engineer,1946,56
1148,Australia,guitarist,1946,60
1149,United States,artist,1914,69
1150,United Kingdom,artist,1966,42
1151,France,artist,1917,56
1152,Australia,politician,1900,52
1153,Spain,politician,1942,58
1154,United States,socialite,1906,69
1155,Hungary,journalist,1899,45
1156,United Kingdom,artist,1940,63
1157,Norway,politician,1887,58
1158,Nicaragua,artist,1932,76
1159,Germany,politician,1908,36
1160,France,athlete,1966,36
1161,Italy,artist,1943,64
1162,United States,engineer,1930,43
1163,United States,researcher,1832,40
1164,United States,physician,1931,78
1165,Canada,artist,1926,80
1166,United States,novelist,1921,88
1167,United Kingdom,artist,1960,52
1168,United States,artist,1939,72
1169,Australia,politician,1943,46
1170,China,politician,400,36
1171,Italy,magistrate,1935,63
1172,United States,artist,1961,35
1173,France,artist,1753,41
1174,Canada,researcher,1950,61
1175,Australia,politician,1919,80
1176,United States,athlete,1884,80
1177,Norway,artist,1926,86
1178,United States,politician,1928,80
1179,Ireland,religious figure,1954,45
1180,United States,artist,1921,76
1181,Canada,politician,1942,57
1182,United States,artist,1928,82
1183,United States,politician,1852,73
1184,United States,professional wrestler,1958,60
1185,Argentina,athlete,1919,90
1186,Mexico,athlete,1982,35
1187,United States,researcher,1943,62
1188,Colombia,politician,1830,62
1189,Japan,military personnel,1885,72
1190,United States,artist,1894,63
1191,United States,artist,1902,59
1192,United States,artist,1897,42
1193,Bulgaria,researcher,1947,59
1194,United States,artist,1911,65
1195,United States,athlete,1907,45
1196,United States,artist,1937,79
1197,United States,businessperson,1923,73
1198,Argentina,model,1994,22
1199,Germany,artist,1918,91
1200,Spain,businessperson,1890,46
1201,France,athlete,1948,65
1202,Russian Federation,artist,1926,68
1203,United States,artist,1897,74
1204,United States,athlete,1949,62
1205,Haiti,athlete,1951,57
1206,United States,athlete,1924,73
1207,United States,athlete,1951,58
1208,Romania,businessperson,1952,59
1209,Norway,artist,1828,78
1210,Greece,artist,1921,76
1211,United States,artist,1929,70
1212,Belgium,athlete,1941,58
1213,Poland,researcher,1878,45
1214,United States,artist,1937,73
1215,France,artist,1921,53
1216,United States,artist,1932,78
1217,Cuba,artist,1962,52
1218,Colombia,politician,1946,38
1219,United Kingdom,artist,1787,44
1220,United Kingdom,insurance broker,1878,55
1221,United Kingdom,military personnel,1938,65
1222,United States,businessperson,1931,64
1223,United Kingdom,artist,1968,34
1224,United States,artist,1922,96
1225,United Kingdom,physician,1928,84
1226,United States,athlete,1936,76
1227,France,military personnel,1775,34
1228,United States,athlete,1979,38
1229,United States,artist,1902,77
1230,India,artist,1956,56
1231,India,artist,1936,82
1232,United Kingdom,athlete,1909,36
1233,Sweden,artist,1958,48
1234,Somalia,artist,1958,48
1235,United States,artist,1928,85
1236,Germany,athlete,1953,62
1237,United States,bookseller,1913,98
1238,France,researcher,1947,63
1239,France,artist,1845,79
1240,United States,military personnel,1913,76
1241,Switzerland,artist,1927,85
1242,United States,architect,1876,61
1243,France,artist,1841,65
1244,Netherlands,businessperson,1953,51
1245,United States,athlete,1914,80
1246,United States,artist,1897,53
1247,Italy,artist,1897,53
1248,United States,artist,1828,34
1249,Ireland,artist,1828,34
1250,Egypt,artist,1954,55
1251,United States,artist,1848,42
1252,United Kingdom,politician,1787,61
1253,China,researcher,1954,64
1254,United States,artist,1892,91
1255,United States,artist,1946,69
1256,United States,teacher,1951,41
1257,United Kingdom,artist,1923,63
1258,United States,farmer,1927,55
1259,China,artist,1938,58
1260,United Kingdom,politician,1796,41
1261,United States,mountaineer,1982,37
1262,United States,engineer,1935,34
1263,Japan,samurai,1640,71
1264,United States,artist,1941,68
1265,Italy,researcher,1938,69
1266,Israel,researcher,1938,69
1267,Germany,librarian,1889,55
1268,Germany,military personnel,1892,53
1269,Bulgaria,artist,1925,64
1270,France,explorer,1794,38
1271,United States,artist,1738,51
1272,United States,artist,1905,78
